Hour,Bid Price ($/MWh),Bid Amount(MWh)
8,43.41,109.41264
8,52.87,100.29492
8,53.3,136.7658
8,65.32,139.04523
8,52.04,155.00124
8,54.51,211.98699
8,52.83,155.00124
8,47.16,253.01673
8,58.71,79.78005
8,56.76,266.69331
8,62.54,145.88352
8,65.87,102.57435
9,61.46,95.68305
9,52.95,85.61115
9,64.51,158.632425
9,50.49,65.46735
9,60.43,62.949375
9,68.45,120.8628
9,52.55,110.7909
9,54.67,151.0785
9,58.0,153.596475
9,54.98,171.2223
9,49.75,234.171675
9,57.84,171.2223
9,52.19,279.495225
9,59.87,88.129125
9,52.9,294.603075
9,63.87,161.1504
9,65.76,113.308875
10,65.75,96.69024
10,54.08,86.51232
10,56.39,160.30224
10,62.07,66.15648
10,51.85,63.612
10,59.14,122.13504
10,64.54,111.95712
10,49.96,152.6688
10,58.92,155.21328
10,59.3,173.02464
10,61.91,236.63664
10,51.82,173.02464
10,51.4,282.43728
10,60.61,89.0568
10,59.48,297.70416
10,68.98,162.84672
10,72.54,114.5016
11,59.25,96.69024
11,59.73,86.51232
11,54.6,160.30224
11,59.16,66.15648
11,59.47,63.612
11,54.43,122.13504
11,67.33,111.95712
11,60.37,152.6688
11,52.04,155.21328
11,61.28,173.02464
11,53.13,236.63664
11,61.94,173.02464
11,63.79,282.43728
11,53.9,89.0568
11,62.82,297.70416
11,67.34,162.84672
11,65.27,114.5016
12,59.56,95.68305
12,61.61,85.61115
12,66.98,158.632425
12,56.27,65.46735
12,53.73,62.949375
12,53.05,120.8628
12,53.42,110.7909
12,57.11,151.0785
12,59.21,153.596475
12,58.88,171.2223
12,61.64,234.171675
12,57.57,171.2223
12,64.77,279.495225
12,56.18,88.129125
12,71.1,294.603075
12,73.87,161.1504
12,75.16,113.308875
13,60.63,95.68305
13,53.21,85.61115
13,52.15,158.632425
13,59.91,65.46735
13,56.38,62.949375
13,61.07,120.8628
13,59.87,110.7909
13,57.14,151.0785
13,53.27,153.596475
13,49.93,171.2223
13,55.27,234.171675
13,61.78,171.2223
13,58.57,279.495225
13,51.27,88.129125
13,58.37,294.603075
13,68.79,161.1504
13,64.69,113.308875
14,59.43,95.68305
14,53.08,85.61115
14,58.27,158.632425
14,57.79,65.46735
14,51.79,62.949375
14,59.29,120.8628
14,60.3,110.7909
14,62.92,151.0785
14,62.77,153.596475
14,50.61,171.2223
14,52.81,234.171675
14,60.08,171.2223
14,60.07,279.495225
14,60.08,88.129125
14,76.76,294.603075
14,80.75,161.1504
14,83.46,113.308875
15,59.35,93.66867
15,62.18,83.80881
15,61.27,155.292795
15,59.76,64.08909
15,54.92,61.624125
15,60.29,118.31832
15,52.64,108.45846
15,55.32,147.8979
15,54.07,150.362865
15,56.91,167.61762
15,68.07,229.241745
15,47.16,167.61762
15,59.93,273.611115
15,48.44,86.273775
15,54.14,288.400905
15,67.46,157.75776
15,63.49,110.923425
16,61.94,93.66867
16,56.82,83.80881
16,51.11,155.292795
16,52.92,64.08909
16,59.9,61.624125
16,52.85,118.31832
16,57.58,108.45846
16,56.73,147.8979
16,53.24,150.362865
16,67.22,167.61762
16,59.67,229.241745
16,46.37,167.61762
16,57.43,273.611115
16,53.19,86.273775
16,60.76,288.400905
16,68.35,157.75776
16,64.73,110.923425
17,55.54,99.71181
17,58.93,89.21583
17,62.02,165.311685
17,63.83,68.22387
17,53.5,65.599875
17,57.83,125.95176
17,57.13,115.45578
17,56.23,157.4397
17,68.33,160.063695
17,61.52,178.43166
17,53.2,244.031535
17,64.09,178.43166
17,70.11,291.263445
17,64.66,91.839825
17,51.9,307.007415
17,67.43,167.93568
17,73.65,118.079775
18,57.58,100.719
18,66.33,90.117
18,56.46,166.9815
18,62.22,68.913
18,63.87,66.2625
18,55.37,127.224
18,59.7,116.622
18,43.79,159.03
18,54.88,161.6805
18,58.74,180.234
18,53.76,246.4965
18,68.16,180.234
18,52.85,294.2055
18,57.8,92.7675
18,60.65,310.1085
18,64.78,169.632
18,67.35,119.2725
19,67.21,100.719
19,52.82,90.117
19,65.82,166.9815
19,60.05,68.913
19,55.09,66.2625
19,62.31,127.224
19,61.0,116.622
19,57.0,159.03
19,60.35,161.6805
19,58.07,180.234
19,60.57,246.4965
19,63.31,180.234
19,67.93,294.2055
19,53.81,92.7675
19,70.67,310.1085
19,73.98,169.632
19,75.98,119.2725
20,48.24,96.69024
20,57.24,86.51232
20,60.94,160.30224
20,59.4,66.15648
20,54.89,63.612
20,56.96,122.13504
20,55.53,111.95712
20,55.05,152.6688
20,62.25,155.21328
20,59.79,173.02464
20,54.54,236.63664
20,62.5,173.02464
20,59.54,282.43728
20,62.06,89.0568
20,61.15,297.70416
20,62.43,162.84672
20,64.62,114.5016
21,51.36,91.65429
21,52.7,82.00647
21,59.24,151.953165
21,58.55,62.71083
21,55.4,60.298875
21,56.09,115.77384
21,61.89,106.12602
21,52.54,144.7173
21,58.24,147.129255
21,54.49,164.01294
21,54.41,224.311815
21,60.99,164.01294
21,59.63,267.727005
21,59.57,84.418425
21,62.03,282.198735
21,65.73,154.36512
21,67.89,108.537975
22,51.61,83.59677
22,54.91,74.79711
22,49.95,138.594645
22,53.12,57.19779
22,50.85,54.997875
22,51.98,105.59592
22,54.48,96.79626
22,47.41,131.9949
22,61.96,134.194815
22,46.47,149.59422
22,45.43,204.592095
22,57.29,149.59422
22,55.46,244.190565
22,54.62,76.997025
22,54.64,257.390055
22,56.63,140.79456
22,63.53,98.996175
23,46.44,73.52487
23,42.01,65.78541
23,46.88,121.896495
23,43.11,50.30649
23,51.38,48.371625
23,45.76,92.87352
23,42.37,85.13406
23,44.89,116.0919
23,48.56,118.026765
23,43.68,131.57082
23,42.39,179.942445
23,47.72,131.57082
23,47.72,214.770015
23,43.97,67.720275
23,44.14,226.379205
23,45.7,123.83136
23,43.42,87.068925
24,42.66,63.45297
24,34.26,56.77371
24,34.46,105.198345
24,37.91,43.41519
24,40.43,41.745375
24,43.05,80.15112
24,48.88,73.47186
24,45.79,100.1889
24,40.7,101.858715
24,41.4,113.54742
24,36.49,155.292795
24,41.41,113.54742
24,40.06,185.349465
24,43.11,58.443525
24,37.36,195.368355
24,39.84,106.86816
24,41.95,75.141675
